GridID,latitude,longitude,LST_Celsius,NDVI,BuildingDensity,Slope,Aspect
"-9382,3984",35.79337249459445,-84.2754483796656,,,,,
"-9381,3984",35.79337249460063,-84.26646522683701,,,,,
"-9380,3984",35.79337249460903,-84.2574820739814,,,,,
"-9379,3984",35.79337249460874,-84.24849892112954,,,,,
"-9378,3984",35.79337249460605,-84.23951576833721,,,,,
"-9377,3984",35.793372494606814,-84.23053261545161,,,,,
"-9376,3984",35.79337249460026,-84.22154946262604,,,,,
"-9375,3984",35.793372494609024,-84.21256630976922,,,,,
"-9374,3984",35.79337249462253,-84.20358315696798,,,,,
"-9373,3984",35.7933724946138,-84.19460000406954,,,,,
"-9372,3984",35.793372494621366,-84.18561685130355,,,,,
"-9371,3984",35.79337249461844,-84.17663369840217,,,,,
"-9370,3984",35.793372494610956,-84.16765054557771,,,,,
"-9369,3984",35.793372494620805,-84.15866739271137,26.33225860795335,0.17665692930247884,0.3817902528051913,0.6982109118331026,26.62256550427315
"-9368,3984",35.793372494620954,-84.14968423995711,27.05923217590152,0.34161751427573406,1.3830583370356453,2.413550267248843,48.73919621332422
"-9367,3984",35.79337249461709,-84.140701087023,26.30678178339867,0.19079188357695037,0.009390705214806807,0.0,-0.0
"-9366,3984",35.79337249461527,-84.13171793420396,,,,,
"-9365,3984",35.79337249460502,-84.12273478140618,,,,,
"-9364,3984",35.79337249460812,-84.11375162848466,,,,,
"-9363,3984",35.7933724946302,-84.10476847570249,,,,,
"-9362,3984",35.793372494627945,-84.09578532289306,,,,,
"-9361,3984",35.79337249462334,-84.08680216998324,,,,,
"-9360,3984",35.7933724946217,-84.0778190171725,,,,,
"-9359,3984",35.79337249461268,-84.06883586431462,,,,,
"-9358,3984",35.79337249461858,-84.05985271151671,,,,,
"-9357,3984",35.79337249462792,-84.05086955861609,,,,,
"-9356,3984",35.79337249463005,-84.04188640578603,,,,,
"-9355,3984",35.793372494614516,-84.03290325298062,,,,,
"-9354,3984",35.79337249460313,-84.02392010010715,,,,,
"-9353,3984",35.79337249461776,-84.01493694725337,,,,,
"-9352,3984",35.793372494630866,-84.00595379447338,,,,,
"-9351,3984",35.79337249461556,-83.9969706415761,,,,,
"-9350,3984",35.793372494610196,-83.98798748876293,,,,,
"-9349,3984",35.793372494619724,-83.97900433589251,,,,,
"-9348,3984",35.793372494617024,-83.97002118306936,,,,,
"-9347,3984",35.79337249462401,-83.9610380302644,,,,,
"-9346,3984",35.79337249462965,-83.95205487738488,,,,,
"-9345,3984",35.79337249462333,-83.94307172457731,,,,,
"-9344,3984",35.79337249461015,-83.93408857168,,,,,
"-9343,3984",35.79337249461154,-83.9251054188503,,,,,
"-9342,3984",35.79337249461683,-83.91612226602346,,,,,
"-9341,3984",35.79337249461493,-83.90713911318332,,,,,
"-9340,3984",35.79337249462765,-83.89815596035966,,,,,
"-9339,3984",35.79337249462724,-83.88917280750643,,,,,
"-9338,3984",35.79337249461915,-83.88018965468102,,,,,
"-9337,3984",35.793372494608796,-83.87120650178827,,,,,
"-9336,3984",35.793372494601094,-83.862223348983,,,,,
"-9335,3984",35.79337249461801,-83.85324019613817,,,,,
"-9334,3984",35.79337249463177,-83.84425704327619,,,,,
"-9333,3984",35.79337249463131,-83.83527389047731,,,,,
"-9332,3984",35.79337249462198,-83.82629073758055,,,,,
"-9331,3984",35.79337249460841,-83.81730758479884,,,,,
"-9330,3984",35.79337249461248,-83.80832443196347,,,,,
"-9329,3984",35.79337249460697,-83.79934127903137,,,,,
"-9328,3984",35.79337249459646,-83.7903581262551,,,,,
"-9327,3984",35.79337249460235,-83.78137497341692,,,,,
"-9326,3984",35.79337249461394,-83.7723918205977,,,,,
"-9325,3984",35.79337249461963,-83.76340866767816,,,,,
"-9324,3984",35.79337249462419,-83.75442551491253,,,,,
"-9323,3984",35.793372494632756,-83.74544236205718,,,,,
"-9322,3984",35.79337249463418,-83.73645920917525,,,,,
"-9321,3984",35.793372494633786,-83.72747605637501,,,,,
"-9320,3984",35.793372494619696,-83.71849290348428,,,,,
"-9319,3984",35.79337249461316,-83.70950975070008,,,,,
"-9318,3984",35.79337249460291,-83.70052659785475,,,,,
"-9317,3984",35.79337249461037,-83.69154344497878,,,,,
"-9316,3984",35.79337249462448,-83.68256029215138,,,,,
"-9315,3984",35.79337249461692,-83.67357713932884,,,,,
"-9314,3984",35.79337249460881,-83.66459398644257,,,,,
"-9313,3984",35.79337249460541,-83.655610833647,,,,,
"-9312,3984",35.79337249461126,-83.64662768079796,,,,,
"-9382,3985",35.80235564742483,-84.27544837966211,,,,,
"-9381,3985",35.80235564743695,-84.26646522681273,,,,,
"-9380,3985",35.80235564743097,-84.257482074002,,,,,
"-9379,3985",35.802355647412995,-84.24849892113667,,,,,
"-9378,3985",35.802355647421656,-84.23951576832101,,,,,
"-9377,3985",35.80235564743044,-84.23053261545328,,,,,
"-9376,3985",35.802355647428634,-84.22154946263709,,,,,
"-9375,3985",35.80235564742184,-84.21256630975522,,,,,
"-9374,3985",35.80235564741627,-84.20358315696994,,,,,
"-9373,3985",35.802355647417684,-84.19460000407867,,,,,
"-9372,3985",35.802355647415744,-84.18561685128589,,,,,
"-9371,3985",35.80235564741616,-84.17663369842366,,,,,
"-9370,3985",35.802355647407886,-84.16765054558016,26.030904965876992,0.47761570977222007,0.0,2.0677603339214583,31.543799550426147
"-9369,3985",35.80235564739708,-84.15866739271037,28.57907084272541,0.5231313059058597,3.9051804059849444,4.23595525182492,152.88657349362043
